Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL3952478,C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2c(F)ccc(C#N)c2c(=O)n1-c1cncc(F)c1,7.38,7.503173393964742,-0.12317339396474214,0.001986424695922376,34966376.5206399,-2.2061369267113804,17.82582890026811,2.2617079663239226,9.967380970324728,2.7884168564658536,13.764808616296849,1.540203687956664,0.2670477618182946
CHEMBL5430395,COc1ncc(-c2nn(C(C)c3nn(-c4cccc(S(C)(=O)=O)c4)c4cc(Cl)ccc34)c3ncnc(N)c23)cn1,7.38,7.653027070611975,-0.27302707061197484,0.005034035075782957,1410738292.0312057,-2.110700794445605,22.955230600815856,2.3529709055063317,9.842497230547249,3.5213255592782673,37.717316938408146,1.9371883135970438,0.31553093592576414
CHEMBL4866823,CCC(=O)N1CC[C@H](Nc2ncnc3c2nc(-c2cnc(C)nc2)n3CC)C1,7.38,7.1394527983230285,0.2405472016769714,0.002996003790012241,3950980.9598751,-2.1619798246285074,11.387855989696924,2.27011177379503,2.3400367697711677,3.327108239643136,24.91989260473604,7.982836613142349,0.22185862912973459
CHEMBL4084960,N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(C#Cc3cccs3)c2c(=O)n1-c1ccccc1,7.38,7.454008627951122,-0.07400862795112229,0.0026512921282322295,990318023.545857,-2.2791142064238947,23.597476225187123,2.3710453744863815,7.937321771181904,3.6440809667961895,14.951935562841626,0.6436768646386112,0.26680559217021815
CHEMBL4437707,Nc1ncnn2c(-c3cccnc3)cc(-c3ccnn3C3CCOCC3)c12,7.38,7.303921015391603,0.07607898460839646,0.002747516529750956,4279295.045527084,-2.2374724135939106,22.514758973090913,2.3583562313130337,10.892177264424289,3.346231776865819,9.499376414562832,1.5132163467111157,0.1515601924157694
CHEMBL5439214,Cc1nc(NC(=O)N2C[C@H](NS(=O)(=O)Cc3ccc(C(=O)NO)cc3)C[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,7.38,7.2700087783975675,0.10999122160243235,0.003632523827865083,4160554288.7039037,-2.2683812136220283,10.440598685398296,2.412369647276408,5.907408582112657,3.5459697601257494,28.39850415192126,3.4922065393873765,0.3989054885082493
CHEMBL4755435,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C4CCCC4)CC3)cc2n1,7.38,7.740434845679046,-0.3604348456790465,0.0030894614145585233,1499850395.907047,-2.3743586896177695,5.948339280986494,2.348484138166294,3.094310289319534,3.714475481125051,9.967957041894417,11.021142241217508,0.23777039321823498
CHEMBL4522571,O=C(O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1,7.38,7.173976924890832,0.20602307510916784,0.0013919672656197849,51607428.77001708,-2.320320439177834,5.948339280986494,2.288774507856245,0.8671598537512148,3.244277865467916,13.764808616296847,2.907557234632451,0.30779655044108045
CHEMBL4582553,COc1ncc(N2CCc3ncnc(-c4ccc(NCC5CCOCC5)nc4)c3C2)cc1C,7.38,7.40435165431364,-0.024351654313639948,0.001726433720914044,55264551.23475112,-2.3072971327112852,17.137367822980828,2.3081862513996585,6.331976698723547,2.8751801774136165,19.935914083788834,6.307839555752556,0.21555846631970366
CHEMBL1242472,CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,7.38,7.106242485994424,0.2737575140055757,0.0024539533315267974,351858.6469600958,-2.100879649613954,22.756403153113265,2.361372574734612,8.428679288851548,2.965992421543237,14.6497599770396,6.602363503967039,0.16371267250060847
CHEMBL5219048,CN(Cc1ccc(C(=O)NO)cc1)C(=O)O[C@@H]1C[C@@H](c2nc3cccc(Cl)c3c(=O)n2C)N(c2nc(N)nc(N)c2C#N)C1,7.38,7.4822121027865345,-0.10221210278653459,0.005164857238043736,5885179848.962735,-2.26917465933012,6.069221312792274,2.385287425521577,14.392656297599732,3.4121709133404994,15.258612303140232,0.23810640519217774,0.4096403121768167
